"database_id","target_id","comparator_id","analysis_id","covariate_id","coefficient"
"Open Claims",1772597,1772598,1,1186087410,1.62537573896871
"Open Claims",1772597,1772598,1,21603914410,1.1951727632753
"Open Claims",1772597,1772598,1,1314273410,1.18151908127278
"Open Claims",1772597,1772598,1,912263410,0.821047451149251
"Open Claims",1772597,1772598,1,0,-0.751527944562056
"Open Claims",1772597,1772598,1,2314220504,-0.586711211539099
"Open Claims",1772597,1772598,1,19041065410,0.516661294577923
"Open Claims",1772597,1772598,1,2212095704,0.467446472750594
"Open Claims",1772597,1772598,1,21603907410,0.46678863258325
"Open Claims",1772597,1772598,1,1904,0.436570359961014
"Open Claims",1772597,1772598,1,2314213504,-0.375598312712972
"Open Claims",1772597,1772598,1,40171288410,0.357408275715596
"Open Claims",1772597,1772598,1,1305058410,-0.301158769595722
"Open Claims",1772597,1772598,1,14003,0.278400875541734
"Open Claims",1772597,1772598,1,2018006,0.276860919454632
"Open Claims",1772597,1772598,1,2212825702,-0.260436753789531
"Open Claims",1772597,1772598,1,2017006,0.24692014929832
"Open Claims",1772597,1772598,1,2414395504,-0.2382448185557
"Open Claims",1772597,1772598,1,2212825704,-0.233831831759662
"Open Claims",1772597,1772598,1,2514418502,-0.230918419533753
"Open Claims",1772597,1772598,1,21603890413,-0.227891516042583
"Open Claims",1772597,1772598,1,2211459502,-0.218440050730534
"Open Claims",1772597,1772598,1,78517210,-0.215331242682023
"Open Claims",1772597,1772598,1,15003,0.213745912893603
"Open Claims",1772597,1772598,1,319835210,0.212970180567203
"Open Claims",1772597,1772598,1,16003,0.193276787224182
"Open Claims",1772597,1772598,1,2212095702,0.19058363025805
"Open Claims",1772597,1772598,1,8507001,-0.172340808653629
"Open Claims",1772597,1772598,1,2211458502,-0.170706338392437
"Open Claims",1772597,1772598,1,21602969412,0.164377780628798
"Open Claims",1772597,1772598,1,1103314410,-0.16305175351351
"Open Claims",1772597,1772598,1,2013006,-0.159811149748922
"Open Claims",1772597,1772598,1,4117686210,0.15973833368621
"Open Claims",1772597,1772598,1,2212830702,-0.159415361893033
"Open Claims",1772597,1772598,1,21601517413,0.154767667190024
"Open Claims",1772597,1772598,1,13003,0.15104187091473
