"database_id","target_id","comparator_id","analysis_id","preference_score","target_density","comparator_density"
"Open Claims",1772597,1772598,1,0,0.000168431975280572,0.000901337580837058
"Open Claims",1772597,1772598,1,0.0101010101010101,0.00038302480711355,0.00245642310484783
"Open Claims",1772597,1772598,1,0.0202020202020202,0.00077106531967794,0.00574963820896085
"Open Claims",1772597,1772598,1,0.0303030303030303,0.00138592757022281,0.011860167253483
"Open Claims",1772597,1772598,1,0.0404040404040404,0.00226239524978005,0.0222262288552411
"Open Claims",1772597,1772598,1,0.0505050505050505,0.00343878641934849,0.0383782107007119
"Open Claims",1772597,1772598,1,0.0606060606060606,0.00502091385377163,0.0620186817700318
"Open Claims",1772597,1772598,1,0.0707070707070707,0.00724550687182399,0.0940491866505973
"Open Claims",1772597,1772598,1,0.0808080808080808,0.0104945147370421,0.134915076297424
"Open Claims",1772597,1772598,1,0.0909090909090909,0.015215859091237,0.184396154639347
"Open Claims",1772597,1772598,1,0.101010101010101,0.0218247954334579,0.242685466906606
"Open Claims",1772597,1772598,1,0.111111111111111,0.0305641165954469,0.311563300353709
"Open Claims",1772597,1772598,1,0.121212121212121,0.0415792520198902,0.394277299973348
"Open Claims",1772597,1772598,1,0.131313131313131,0.0549446345190503,0.493289994664112
"Open Claims",1772597,1772598,1,0.141414141414141,0.0706842103397996,0.605364372230196
"Open Claims",1772597,1772598,1,0.151515151515152,0.0886301605583343,0.723111495458027
"Open Claims",1772597,1772598,1,0.161616161616162,0.108467182646343,0.840744416762841
"Open Claims",1772597,1772598,1,0.171717171717172,0.129935719138228,0.959610736786667
"Open Claims",1772597,1772598,1,0.181818181818182,0.153326768412852,1.08544041077151
"Open Claims",1772597,1772598,1,0.191919191919192,0.179946502328931,1.22105040112291
"Open Claims",1772597,1772598,1,0.202020202020202,0.212046954920281,1.36311523473636
"Open Claims",1772597,1772598,1,0.212121212121212,0.252081336236653,1.50526353112051
"Open Claims",1772597,1772598,1,0.222222222222222,0.301605215239993,1.64372437617526
"Open Claims",1772597,1772598,1,0.232323232323232,0.360470655265518,1.77994535211365
"Open Claims",1772597,1772598,1,0.242424242424242,0.426740300513188,1.91711792657891
"Open Claims",1772597,1772598,1,0.252525252525253,0.497764210109229,2.05286909036166
"Open Claims",1772597,1772598,1,0.262626262626263,0.571085478532911,2.17545160593886
"Open Claims",1772597,1772598,1,0.272727272727273,0.645163702993729,2.27089215084919
"Open Claims",1772597,1772598,1,0.282828282828283,0.719538457245402,2.33648406785584
"Open Claims",1772597,1772598,1,0.292929292929293,0.794344285228922,2.38365970242923
"Open Claims",1772597,1772598,1,0.303030303030303,0.869351736378618,2.42781746035953
"Open Claims",1772597,1772598,1,0.313131313131313,0.943178134126611,2.47315758388427
